데이,표제어,예문,동의어1,동의어2,동의어3,동의어4,동의어5
10,haphazard,The books were piled on the shelves in a haphazard fashion.,casual,indiscriminate,random,,
10,haphazard,Haphazard development caused servere environmental pollution.,casual,indiscriminate,random,,
10,complicit,Several people were complicit in the cover-up.,collusive,conspiratorial,implicated,involved,
10,disquisition,This subject is no place to enter into a lengthy disquisition on recent trends.,discourse,dissertation,thesis,treatise,
10,applaud,"Despite the fact that over time the originally antagonistic response ti his sculpture has lessened, any individuals hardly applaud his art.",commend,compliment,extol,laud,praise
11,aboriginal,Thousands of people are flocking to the funeral of the aboriginal chief.,autochthonous,indigenous,,,
11,recourse,He urged the committee to settke the issue without recourse to court action.,resort,,,,
11,ubiquitous,Cell phones are the most ubiqutious devices in the world.,omnipresent,,,,
11,taint,Seven people died from eating turkey tainted by listeria.,contaminate,pollute,spot,,
11,lassitude,"The hot, tropical weather created a feeling of lasssitude.",languor,lethargy,weariness,,
11,perpendicular,The cliffs are perpendicular to the ground.,upright,vertical,,,
11,serpentine,"The 1640 kilometer serpentine system of fences, brricades, and checkpoints reduced attacks from the enemies to almost nil.",convoluted,meandering,winding,,
11,enact,Enacting the death penalty can save countless lives by reducing the rate of violent crims.,establish,legislate,ordain,,
11,middle-of-the-road,The democratic party took a middle-of-the-road stance on educational issues.,moderate,,,,
11,outcast,"In these days, smokers are often treated as social outcasts.",pariah,vagabond,,,
11,barren,The greater part of the land is still barren.,infertile,,,,
11,scarce,Reasonably priced accommodation in Britian is scarce.,rare,,,,
11,rubicund,His clean-shaved face was rubicund and his eyes had a cheer light.,florid,flushed,reddish,sanguine,
11,decipher,Researchers are gradually decipgering the genetic structure found in the cells of organisms.,decode,decrypt,,,
11,comparison,The second half of the game was dull by comparison with the first.,parallel,,,,
11,eclectic,The works of the writer Issac Asimov demonstrate that he had remarkably eclectic interests.,comprehensive,wide-ranging,,,
11,paralyze,"After the first stroke, he was paralyzed down his waist.",numb,stupefy,,,
11,somber,His face grew somber after he heard the news about the coup.,dark,,,,
11,aggrandize,The king sought to aggrandize his power at the expense of his people.,amplify,enlarge,expand,increase,magnify
11,diametric,The event brought about results diametric to what we had hoped for.,contrary,diametrical,opposite,,
11,howl,"Somewhere a dog suddenly howled, baying at the moon.",bark,bay,yelp,,
11,alert,Visitors should be alert in public places and tourist sites.,attentive,careful,vigilant,wary,watchful
11,puny,"His size might have been puny, but his strength and passion made up for it all.",dwarf,pygmyish,tiny,undersized,
11,segment,A gene is a short segment of DNA.,bit,piece,division,selection,
11,estate,"Before he died, Nobel donated his estate to create a fund for prizes in chemistry, physics, literature, medicine, and peace.",land,domain,,,
11,quake,"If you stand up straight, you'll give an impression of self-confidence, even if you're quaking in your boots.",quiver,shiver,shudder,tremble,
11,nebulous,The corporatuin us reluctant to build a casino in the UK while the laws surrounding gaming are so nebulous.,cloudy,hazy,obscure,,
11,censure,The studebt was censured for his indiscreet act.,boring,monotonous,tedious,,
11,immutable,"Unlike medicine, politics is more art than science, and it has its own immutable lwas.",unalterable,unchangeable,,,
11,ferment,Rumors of war caused national ferment.,agitation,commotion,,,
11,spew,Massive chimneys were spewing out smoke.,emanate,emit,spout,,
11,opportune,Scientific debate about global warming started at an opportune time.,propitious,seasonable,timely,,
11,tenement,They live in a tenement block on the edge of the city.,apartment,flat,,,
11,liquidate,The company closed down operations and began liquidating its assets.,clear,pay off,settle,,
11,collision,Auroras are caused by the collision of charged particles directed be the Earth's magnetic field.,bump,crash,impackt,smash,
11,via,The virus is transmitted via physical contact.,by means of,through the medium of,,,
11,shield,The ozone layers forms a thin shield high up in the sky.,protection,safeguard,,,
11,intermission,There was an intermission after the first half of the play.,break,interlude,recess,respite,
11,assume,"Little is known of the writer Theophilus, but from his writings, we can assume that he was well-educated.",presume,suppose,,,
11,filibuster,"During a fillibister, senators can talk about whatever they want for as long as they can.",obstruction,stonewalling,,,
11,blot,His misbegavior cast a blot on our name.,blemish,stigma,taint,,
11,contiguous,"In the USA, 48 Of the 50 states are contiguous.",adjacent,adjoining,neighboring,proximate,
11,indict,He served a two-year sentence when he was indicated for fraud.,accuse,charge,prosecute,,
11,apothecary,"In the past, an apothecary prepared medicines for people without a doctor's prescription.",dispenser,druggist,pharmacist,,
11,stash,Sha has a fortune stashed away in various bank accounts.,cache,conceal,hide,,
12,complacent,All his life he had to work hard under extreme conditions and now he has a complacent felling about what he has done.,self-satisfied,smug,,,
12,abduct,The terrorist group has abducted hundreds of people to use as soldiers and set slaves.,kidnap,,,,
12,metaphysics,"Metaphysis investigate reason, which is the foundation of science.",metaphysical philosophy,,,,
12,excessive,The excessive obsession of weight loss caused her anorexia.,exorbitant,immoderate,inordinate,,
12,satiate,"When they eat fast, people normally feel less satiated than those who eat slower, and theregore end up overating.",glut,surfeit,safisfy,,
12,yen,I've always had a yen to travel around the world.,craving,longing,yearning,,
12,plague,Financial problems are plaguing the company.,afflict,,,,
12,impugn,The lawyer impugned the witness's story.,challenge,criticize,,,
12,optimistic,These are difficult times and we cannot afoord to be too optimistic about the future.,hopeful,roseate,sanguine,,
12,spleen,He vented his spleen on the assembled crowd.,anger,malice,spite,grudge,
12,elongate,Senior party officials argued the government's tax audit was aimed at elongating its rule at next year's presidential election.,extend,lengthen,prolong,,
12,inchoate,We wanted to introdude some coherence to an inchoate mess.,beginning,inceptive,incipient,nascent,
12,charlatan,Charlatans hoodwink people out of their money.,deceiver,imposter,mountebank,quack,swindler
12,terse,"Hemingway wrote in short, declarative sentences and was known for his tough, terse prose.",concise,laconic,succinct,,
12,comment,All participants commented that they were deeply impressed by the rich history of Korean food and ingredients.,mention,note,remark,,
12,maladroit,He was so maladroit while dancing that nobody could watch him.,awkward,clumsy,gauche,inept,unskillful
12,hub,Los Angeles in the hub of the American film industry.,centre,core,focus,heart,
12,garrulous,"She never interrupted, and she never, for one moment, looked bored, although she thought he was garrulous.",chatty,loquacious,talkative,verbose,wordy
12,idyllic,The restaurants adds to the romance of idyllic setting with its open-air dining area bordered by a pond.,Arcadian,bucolic,pastoral,,
12,ravage,Korea has suffered terribly at the hands of many nations whose armies invaded and ravaged it.,destroy,devastate,ruin,,
12,tickle,He tickled the baby's feet and made her laugh.,titillate,,,,
12,annihilate,Admiral Soonshin Yi and his men annihilated the Japanese navy.,crush,eradicate,exterminate,wipe out,
12,standstill,The talks between two countrues are at a standstill.,halt,stop,stalemate,,
12,redoubtable,He met a redoubtable opponent in the ring.,formidable,strong,,,
12,mobile,Dancing may help keep joints more supple and mobile.,locomotive,movable,portable,,
12,pacify,It was difficult for the police to pacify the angry crowd.,assuage,calmness,,,
12,cacophony,The melancholy melody of Beethoven's Moonlight Sonata rang through the cacophony of the Manhattan street.,discord,dissonance,,,
12,disguise,Their disguises were so convincing that other people on the street seened to take no notice.,camouflage,mask,masquerade,,
12,seismic,"Scientists ogtem refer to tidak waves as seismic esa waves, far ore appropriate in that they do result from underesea seismic activity.",seismal,,,,
12,favorable,The settlement was favoravble to the labor union.,advantageous,,,,
12,herculean,They have mounted herculean efforts to provide the necessary support.,arduous,demanding,,,
12,ventilate,"Most modern barns are insulated, ventilated, and equipped with electricity.",air,,,,
12,fortress,The fortress was heavily armed and seemed impregnable.,bulwark,citadel,fort,redoubt,stronghold
12,pharisaic,Pharissaic people insist too much on religious rules without following them in spirit.,hypocritical,insincere,sanctimonious,,
12,sphere,This country was formely within the sphere of influence of the US.,domain,field,range,scope,
12,dole,He became unemployed and us getting the dole at the monenet.,allowance,susso,unemployment benefit,,
12,appraise,I had an ecpert appraise the house beforehand.,assess,gauge,,,
12,urgent,There is an urgent need for qualified teachers.,pressing,,,,
12,benefactor,An anonymous benefactor donated 2 million dollars.,backer,patron,,,
12,abundant,"Toyota, Hyundai, Daimler and Honda announced plans to build vehicles that run on the most abundunt element in the universe and only water vapor as a byproduct.",affluent,ample,bountiful,copious,plentiful
12,decoy,They used him as a decoy to lure people into buying the goods.,entice,tempt,,,
13,periodic,Periodic checks are carried out on the equipment.,recurrent,regular,,,
13,dank,It is natural that the air is dank and stale in the basement during the long rainy season.,damp,humid,moist,,
13,obey,Soliders take it for granted that they should obey orders.,follow,submit to,surrender to,yield to,
13,lopsided,The article presents a somewhat lopisided view of events.,biased,disproportionate,one-sided,unequal,
13,jaunty,The well-dressed man gave a jaunty laugh.,jocund,jovial,merry,vivacious,
13,abnormal,It is often difficuly to draw a line between normal and abnormal behavior.,eccentric,irregular,unnatural,,
13,sanctity,"To preserve the mosque's sancity, non-worshippers were required to use the north entrance.",divinity,holiness,,,
13,miserly,His miserly behavior faced condemnation from neighbors.,greedy,stingy,tight-fisted,,
13,electrify,The band's performance electrified the audience.,amaze,excite,shock,thrill,
13,shrink,"Watching the scene, her heart seemed to shrink with fear.",cower,flincnh,recoil,,
13,circumscribe,The processes to which a dead body may be subjected are to some extent circumscribed by law.,limit,restrict,,,
13,tactless,The tactless preaching of the Anglican priest brought him into disfacor with Queen Elizabeth 1.,thoughtless,witless,,,
13,confide,She confided to he father tha her daughter was not born from her husband.,confess,disclose,divulge,reveal,
13,blanch,His face was blanched with the strange sound.,bleach,whiten,,,
13,blanch,"If you limit the vitamin loss, blanch vegetables by boiling for a couple of minutes, then refresh by plunging into cold water very quickly.",scald,,,,
13,egregious,"His excuse is seamless, I haver to admit; I know he's lying, but I can't find a hole in his story.",coherent,logical,,,
13,glitch,"The flaws, to the real friend, can be endearing, as long as they're not too egregious.",absurd,flagrant,outrageous,ridiculous,
13,mete,A computer software glitch houled up their presentation.,bug,defect,flaw,malfunction,
13,internal,Nature always metes out a retribution for any transgression of her law,allot,assign,distribute,,
13,aim,We live in perpetual self-confrontation between the external success and the internal value.,inner,inside,interior,,
13,aim,She went to London with the aim of finding a job.,end,goal,object,objective,purpose
13,aim,The government is aiming at a 50% reduction in unemployment.,pitch,target,,,
13,creed,"Race, nationality and creed shouldn't matter in sport.",doctrine,dogma,,,
13,oppressive,The King's rule was so oppressive that no one could stand it anymore.,harsh,repressive,tyrannical,,
13,oppressive,Our new office was beautifully airy and yet remarkably oppressive.,close,cramped,stifling,,
13,slay,Goliath was slain by David in a single combat.,assassinate,kill,massacre,murder,slaughter
13,career,She began her modeling carrer in 1950 at the age of 20.,record,work,experience,,
13,incipient,"Despite incipient signs of recovery, the economy fell into a deeper recession.",embyronic,initial,nascent,,
13,disingenuous,It would be disingenous of me to clain I had never seen it.,deceitful,dishonest,insincere,,
13,preserve,We must preserve the environment.,conserve,maintain,sustain,,
13,specimen,Astronauts have bought back specimens of rock from the moon.,example,model,sample,,
13,annotate,"Historians annotate, check an interpret the diary selections.",comment,footnote,gloss,note,
13,torture,They tortured people with electrical surges and hot water.,excruciate,,,,
13,bulk,The bulk of the population lives in cities.,majority,mass,,,
13,reciprocal,Learning between grown ups and kids should be reciprocal.,mutual,correlative,,,
13,deity,Atheism is simply the lack of a belief in a theistic deity.,god,,,,
13,furnish,He furnished the library with his own collection of books and helped to fund the renovation.,provide,supply,,,
13,vintage,She collected vintage cars and built up a valuable stamp collection.,antique,classic,old,,
13,humble,"Be it ever so humble, there's no place like home.",poor,shabby,simple,,
13,dominate,The strong dominate over the weak.,control,govern,rule,,
13,libertine,He was a libertine. always chasing after women.,debauchee,profligate,,,
13,despot,People are fighting to bring an end to the rule of the evil despot.,autocrat,dictator,oppressor,tyrant,
13,feeble,"Now Russia is a far cry from the feeble country it was in 1998, when it almost went bankrupt.",debilitated,frail,infirm,weak,
13,imperil,The economic downturn and the crisis in our financial markets further imperiled our domestic automobile industry and its work force.,endanger,jeopardize,,,
13,backwater,"Before 1700 AD, Russia was a European backwater, possessing neither military nor cultural influence on the world scene.",backwoods,hinterland,,,
13,adapt,Most of these tools have been specially adapted for use by disabled people.,acclimate,accommodate,adjust,fit,suit
13,adapt,Three of her novels have been adapted for television.,modify,,,,
13,adapt,It took him a while to adapt himself to his new surroundings.,adjust,,,,
13,script,"Upon reading the script, he showed a special interest in it.",manuscript,text,,,
13,ramble,He had lost track of what he was saying and began to ramble,babble,jabber,maunder,waffle,
14,harness,"Dams can harness the power of rivers, but they may also destroy their beauty.",utilize,,,,
14,impetuous,We tried to curb his impetuous behavior because we felt that in his haste he might offend some people.,hasty,impulsive,,,
14,manifesto,"Futurism was first announced on Feb. 20, 109, when the Paris news paper Le Figaro published a manifesto by the Italian poet and editor Filippo Tommaso Marinetti.",announcement,declaration,proclamation,,
14,rehearse,Anticipate any tough questions and rehearse your answers.,practice,prepare,train,,
14,commotion,A commotion broke out in the classroom when the students heard the news.,agitation,riot,,,
14,sequel,It is rare for a movie sequel to be a box-office hit.,follow-up,,,,
14,distinguish,It’s very hard to distinguish wheat from barley.,differentiate,sort,,,
14,partisan,He said the partisan positions he's taken over the years would not color his judgments in the future.,biased,one-sided,prejudiced,,
14,additive,Processed cheese is made by processing natural cheese with additives.,supplement,,,,
14,qualify,New businesses may qualify for tax remission.,authorize,empower,enable,entitle,
14,generic,"Aspirin was originally a brand name used by the Bayer Company, but as use of the product spread rapidly, the name became so common that it was accepted as a generic term.",common,general,universal,,
14,sanguine,"Considering the havoc the price drop has wrought, most notably on Russia, Mr.Yellen was remarkably sanguine.",buoyant,cheerful,optimistic,positive,upbeat
14,sanguine,Her normally sanguine complexion lost its usual glow when she heard the news of her brother's accident.,florid,high-colored,rubicund,rubby,
14,elixir,Industrial-age quacks got rich off their patent elixirs.,cure-all,panacea,,,
14,abound,Rumors abound as to the reasons for her death.,be plentiful,proliferate,swarm,teem,
14,underdog,"You know, on any given day, an underdog can rise up.",loser,victim,,,
14,tedious,I found his most recent movie to be extremely tedious.,boring,dull,irksome,tiresome,
14,bequeath,She bequeathed no small sum of money to him.,legate,will,,,
14,entry,"Marking its entry to the World Trade Organization in 2001, China has been increasingly turning friendly toward foreign investors.",initiation,joining,,,
14,laudatory,The majority of the city's police officers have nothing but laudatory things to say about their new chief.,complimentary,eulogistic,panegyrical,,
14,soil,It was the first time I had set foot on African soil.,clary,dirt,earth,land,ground
14,pittance,He could not live on the pittance he received as a pension and had to look for an additional source of revenue.,a small allowance,,,,
14,venerate,Mother Teresa is venerated all over the world.,admire,esteem,revere,worship,
14,thesis,My thesis is that all men are not created equal.,proposition,subject,topic,,
14,thesis,He wrote his doctoral thesis on contemporary French literature.,dissertation,paper,treatise,,
14,discipline,Years of discipline and efforts are required to gain knowledge of experience.,drill,exercise,practice,training,
14,posthumous,These creations have won posthumous acclaim from many of the art critics and historians.,after-death,postmortem,,,
14,shed,They will shed a few tears at their daughter's wedding.,spill,,,,
14,hirsute,He was a hirsute individual with a heavy black beard.,hairy,shaggy,,,
14,instinct,Maternal instinct makes mothers protect their childern.,gut feeling,hunch,intuition,,
14,condescend,He often condescended to help his friend with the homework.,patronize,,,,
14,apathetic,The voters are apathetic about the candidate running for office.,aloof,callous,indifferent,nonchalant,uninterested
14,perjury,"He was found guilty of having lied when giving evidence in court and, as a result, was sentenced to two years' imprisonment for perjury.",false statement,lying under oath,,,
14,stealthy,He approached me with stealthy steps.,clandestine,covert,furtive,surreptitious,
14,excel,She has always excelled in foreign languages.,shine,,,,
14,excel,Dick excels all his classmates in mathematics.,exceed,surpass,,,
14,contemn,"After the depredations of the pirates, the people were penniless.",pillage,plunder,,,
14,vendor,"If you contemn my thanks, then I have no other way to show my gratitude.",despise,disdain,scorn,slight,
14,faithful,The purchaster may ask the vendor to warrant the certificate of title.,dealer,merchant,peddler,,
14,asseverate,She has been faithful to her promise to guard this secret.,dependable,loyal,reliable,sincere,
14,candid,"She did not asseverate any more, nor even say she was innocent.",affirm,assert,aver,declare,
14,candid,"Having made an error, she was candid in her explanation.",forthright,frank,outspoken,,
14,candid,I have tried to be candid about the many problems.,even-handed,fair,impartial,just,
14,sophist,A sophist is someone who will win an argument by forcing his opponent to defend it on the sophist's own grounds.,casuist,,,,
14,rally,Both sought to rally Americans to a new era of civic engagement.,assemble,gather,,,
14,rally,A major rally is also planned in Los Angeles.,assembly,convention,,,
14,bout,No accurate date has been announced for the bout.,competition,match,,,
14,ogle,The man ogled the woman so hard that she became angry.,leer,,,,
14,legend,A dragon is a creature of myth and legend.,fable,saga,story,tale,
14,inculcate,My father and my mother inculcated in us the idea of sevice to others.,implant,indoctrinate,infuse,instill,
14,dejected,"When Mary refused to go our with him, John felt really dejected.",crestfallen,depressed,despondent,,
14,marvel,How I have succeeded in my business is still a marvel to me.,miracle,phenomenon,wonder,,
14,advert,The speaker only adverted to the main points of his arguments.,allude,mention,refer,,
14,miserable,"Despite her historic feat, her life was miserable.",abject,pathetic,pitiable,wretched,
15,weird,Interviewers often ask weird questions to see how well you can think on your feet.,bizarre,odd,strange,eerie,
15,impede,A negative thought may impede the flow of your work.,hamper,hinder,obstruct,thwart,
15,deleterious,Mercury has deleterious effects on the human body.,detrimental,harmful,noxious,,
15,rate,South Korea has the lowest fertility rate in the world.,proportion,ratio,price,charge,cost
15,sardonic,Our boss received the proposal with a true sardonic grin.,cynical,mocking,sarcastic,scornful,
15,throe,Our country is in the throes of change.,agony,pain,pang,,
15,gnaw,A mouse is gnawing at the cover of the box.,bite,chew,chomp,nibble,corrode
15,complicated,The criminal escaped when police security was slack.,baggy,loose,careless,idle,lax
15,neophyte,It is more complicated than you think to determine wich foods are unhealthful.,complex,convoluted,intricate,,
15,old-fashioned,The new mayor is a political neophyte who has only worked in finance.,beginner,novice,tyro,convert,proselyte
15,dirge,He has a very old-fashioned notion of marriage.,antiquated,outdated,outmoded,out-of-date,
15,permeate,The anti-tax groups planned a funeral procession of tax in front of federal building wihle a dirge is being played.,elegy,lament,requiem,threnody,
15,permeate,Water will easily permeate a cotton dress.,filter,percolate,sink in,,
15,permeate,Our beliefs surround and permeate every aspect of our lives.,imbue,pervade,,,
15,permeate,The smell of roast beef permeated the air.,imbue,pervade,,,
15,identical,It's impossible for people to have identical fingerprints.,alike,equal,same,,
15,spate,"After heavy rain, the river was in spate.",deluge,flood,inundation,,
15,spate,Kabul is also experiencing a spate of kidnappings.,deal,mass,plenty,,
15,fiesta,The town was clearly in fiesta mood.,carnival,festival,,,
15,effete,Ballet used to be considered an effete career for a young man.,effeminate,feminine,unmanly,womanly,
15,possess,You are not allowed to possess a pistol in this country.,hold,own,,,
15,indignation,She was filled with indignation at the conditions under which miners were forced to work.,anger,fury,rage,resentment,wrath
15,acquaint,"Tragedies acquaint the young citizen with the bad things that may happen in a human life, long before life itself does so.",accustom,familiarize,inform,,
15,acquaint,Let me acquaint you with the facts of the case.,accustom,familiarize,inform,,
15,pliant,He was deposed and replaced by a more pliant successor.,biddable,tractable,yielding,,
15,pliant,The dog became pliant in front of the wild cat.,biddable,tractable,yielding,,
15,stiff,The company faces stiff competition from its rivals.,fierce,intense,keen,severe,
15,haul,Trucks haul sand to build a new road.,carry,convey,transport,,
15,courteous,"Although she often disagreed with me, she was always courteous.",civil,polite,respectful,,
15,emanate,Her face emanates a curious mystique.,emit,exude,radiate,,
15,emanate,We heard a strange noise that seemed to be emanating from the cave.,emit,exude,radiate,,
15,ken,The reason for such a strange behavior is beyond my ken.,purview,,,,
15,maudlin,You should not debase yourself by becoming maudlin.,mawkish,mushy,sentimental,,
15,loosen,The government should loosen regulations to encourage foreign companies to move here.,alleviate,ease,,,
15,authentic,The Korean residents imported materials from Germany to achieve an authentic look to the village.,genuine,bona fide,,,
15,abstract,This philosophy paper is extremely confusing. Its key concepts are so abstract.,abstruse,intangible,notional,theoretical,
15,abstract,We can abstract the idea of blueness from the color of all blue objects.,extract,summarize,,,
15,abstract,This book includes abstracts of famous speeches.,extract,summary,synopsis,,
15,germane,"That is an interesting point, but it is bit germane to our discussion.",appropriate,pertinent,relevant,,
15,vaccination,Doctors suggest getting a tetanus vaccination every ten years.,inoculation,,,,
15,tantalize,"Groundless rumors tantalize us, but in the end, they don't matter much.",tease,torment,,,
15,default,He took a forfeit of all his assets due to his default.,delinquency,nonpayment,,,
15,alienate,The writer's arrogance alienated him from everyone including the publishers.,distance,estrange,,,
15,compliment,Please accept these flowers with the compliments of the manager.,admiration,praise,tribute,,
15,lackluster,Lackluster domestic sales remain a headache for local carmakers.,dim,dull,flat,,
15,fallacy,It's common fallacy that women are worse drivers than men.,delusion,error,illusion,misbelief,misconception
15,cavernous,Only the cavernous prayer hall is reminiscent of traditional Tibet.,cavate,cavelike,,,
15,essential,"Strawberries contain a lot of essential nutrients, including vitamin C and fiber.",crusial,important,indispensable,necessary,vital
15,shrill,"All at once, a shrill scream broke the silence.",high-pitched,strident,,,
15,anthem,The national anthem rang out from the stadium with gravity.,canticle,chant,hymn,psalm,
15,dispense,The volunteers dispensed food and clothing to the poor.,allocate,allot,assign,distribute,
15,pantry,"Store sealed jars in pantry or under sink or in a cool, dark place.",larder,store,,,
16,clarify,We must clarify our goal and gather the trust in order to anchor at the final port of denuclearization.,elucidate,explain,explicate,illuminate,
16,metaphor,A metaphor is a comparison between two objects or ideas that do not at first seem related.,figuration,trope,,,
16,irate,An employee may respond differently to an irate customer and to a pleasant one.,angry,enraged,furious,indignant,wrathful
16,vague,His speeches are always too vague.,ambiguous,equivocal,nebulous,,
16,vague,Anne was very vague about her plans for the future.,ambiguous,equivocal,nebulous,,
16,recount,He recounted to her in vivid detail how he had caught the thief.,describe,narrate,recite,relate,
16,stud,He wore a leather jacket with studs on the back.,rivet,tack,,,
16,pollutant,Zero-emission vehicles help the environment by putting less pollutants into the air than traditional vehicles.,contaminant,,,,
16,ensnare,The federal government steroids probe has ensnared a number of athletes.,enmesh,entangle,entrap,trap,
16,skimp,Older people should not skimp on food or heating.,scant,stint,,,
16,heathen,Those people from without are heathen as long as they deny our doctrine of God creating man.,heretic,infidel,pagan,,
16,factor,"Your height depends on many factors, including your genes ang health conditions.",cause,component,element,part,
16,salient,Among Joe's salient features is his square jaw.,conspicuous,noticeable,outstanding,,
16,malicious,The actor has dismissed the recent rumors about his private life as malicious.,malevolent,spiteful,wicked,,
16,pose,Advances in technology pose new security challenges for companies that rely on intellectual property.,raise,,,,
16,referendum,Ireland is holding a referendum on abortion.,ballot,plebiscite,popular vote,,
16,referendum,The government holds referendums on political issues.,ballot,plebiscite,popular vote,,
16,acquit,The jury acquitted him of murder.,absolve,exculpate,exonerate,,
16,acquit,He was acquitted of his reponsibility.,exempt,,,,
16,subsidy,Government subsidies help spread the high-speed Internet.,bounty,contribution,grant,,
16,empirical,Religious systems tend not to be open to empirical testing.,experimental,practical,pragmatic,,
16,oblation,"On this altar, they burn small wax-lights, and offer up oblations of meat and drink.",offering,,,,
16,decimate,"Nearly decimated by disease and the destruction of their habitat, koalas are now found only in isolated parts of eucalyptus forests.",annihilate,,,,
16,implicit,He interpreted her condemnation of recent political developments as an implicit criticism of the government.,implied,unspoken,,,
16,misprision,She was accused of misprision of felony.,delinquency,knavery,obliquity,,
16,jaundiced,Why do you always take such a jaundiced view of everything?,biased,distorted,prejudiced,,
16,rob,The gangsters robbed the bank.,extort,steal,,,
16,rob,The malnutrition robbed him of his sight.,deprive,,,,
16,argument,He tends to rely on name-calling than logical argument.,contention,controversy,debate,dispute,quarrel
16,bigotry,It is often said that isolation breeds ignorance and ignorance breeds bigotry.,intolerance,prejudice,,,
16,lament,My father lamented the decline in sexual morality in today's society.,bemoan,deplore,grieve,mourn,
16,connotation,Words often carry a connotation that goes beyond the dictionary definition.,implication,overtone,suggestion,,
16,insert,A microchip can be inserted under a pet's skin with a syringe.,interpose,slot,,,
16,fecund,The soil in the southern part of Korean peninsula is fecund.,fertile,productive,prolific,,
16,demonstrate,Can you demonstrate to me how to operate this machine?,explain,illustrate,,,
16,demonstrate,Our tests demonstrate this device is very efficient.,explain,illustrate,,,
16,necrology,The necrology of those buried in this cemetery is available in the office.,death-roll,,,,
16,arbitrary,The choice of players for the team seemed completely arbitrary.,discretionary,optional,random,willful,
16,arbitrary,Most people are willing to accept just and well-considered decisions; it is the arbitrary ones that provoke dissent.,autocratic,despotic,dictatorial,tyrannical,
16,gear,The goods in our shop are geared to the younger end of the market.,adapt,adjust,,,
16,unanimous,A unanimous vote was taken to liquidate the company.,consentaneous,consentient,solid,,
16,telepathy,Some can use telepathy to communicate with each other without using speech.,psychomancy,thought transference,,,
16,condense,Steam condenses into water when it cools.,concretize,congeal,curdle,,
16,condense,"In a poster, extensive information must be condensed into a few words and images.",abridge,abbreviate,compress,,
16,scrupulous,He was scrupulous in all his business dealings.,meticulous,strict,,,
16,scrupulous,A scrupulous politician would not lie about his or her business interests.,conscientious,moral,upright,,
16,behoove,"If your girlfriend wants to attend more social gatherings, then it might behoove you to consider her feelings and needs.",be incumbent on(upon),,,,
16,latitude,The Supreme Court has given considerable latitude to police in the areas of person and vehicle searches.,freedom,leeway,scope,,
16,tranquil,"After the hurricane, the river was once again tranquil.",calm,halcyon,serene,,
16,omniscient,This book has the author recount the story as an omniscient narrator.,all-knowing,pansophic,,,
16,avenge,He has devoted the past five years to avenging his daughter's death.,requite,retaliate,revenge,,
16,eerie,"In a total eclipse, the moon covers the entire surface of the sun, bringing an eerie feeling to observers.",spooky,uncanny,weird,,
16,eerie,"When he got home, he found an eerie image of a figure in his picture.",spooky,uncanny,weird,,
16,cantankerous,Jake is a cantankerous student who thinks he is always right.,grumpy,irascible,irritable,,
16,painstaking,"For many students, getting into a university that they want requires much painstaking effort.",diligent,earnest,thorough,,
16,hedonism,"According to hedonism, the only thing that is good for us is pleasure and the only thing that is bad for us is pain.",epicureanism,,,,
17,quaint,"Many of America's quaint customs, spawned by the exigencies of pioneer days, have fallen into desuetude.",odd,strange,unusual,weird,
17,quaint,Electricity would rob the cottage of its quaint charm and romance.,old-fashioned,,,,
17,epicure,"The seafood restaurant serves grat food and wine that would appeal to any epicure, whether the old or the young.",gastronome,gourmand,goumet,,
17,autocratic,The people of Libya were tired of the autocratic ruler and their lack of political and economic freedom.,despotic,dictatorial,tyrannical,,
17,proponent,"Daylight saving time proponents believe it could boost tourism, leisure, retail and service industries.",exponent,advocate,backer,,
17,concave,Concave lenses are used to correct nearsightedness.,dented,hollow,,,
17,rapacious,Politicians are patting themselves on the back for enacting the home-mortgage laws that will protect struggling homeowners from rapacious bankers.,marauding,avaricious,greedy,insatiable,
17,intervene,"If there were a breakdown of law and order, the army might be tempted to intervene.",interfere,interpose,,,
17,intervene,Something usually intervened in my study.,interfere,interpose,,,
17,intervene,The government intervened in the recent labor disputes.,arbitrate,intercede,interpose,mediate,
17,bombastic,The manifesto's rhetoric was passionately bombastic.,grandiloquent,magniloquent,pompous,,
17,decline,"In Jordan, it is usually polite to decline the offer of a meal three times before acceptiog.",refuse,reject,,,
17,impertinent,He was impertinent enough to talk vack to the older people.,impudent,insolent,presumptuous,,
17,scatter,The crowded people were scattered by the police.,disperse,spread,strew,,
17,vertex,"The smaller the angle at that vertex, the farther away the star.",zenith,,,,
17,aberrant,Jim's aberrant behavior at the dance raised some eyebrows.,abnormal,anomalous,deviant,odd,
17,aberrant,We noticed that alcohol and drugs were a major factor influencing aberrant behavior.,abnormal,anomalous,deviant,odd,
17,interact,Smartphones have changed the way we communicate and interact.,interplay,mingle,,,
17,sly,He took his cigar from his mouth and gave the man a sly look.,cunning,scheming,tricky,wily,
17,casuistry,You are using casuistry to justify your obvious violation of decent behavior.,chicanery,fallacy,sophism,sophistry,
17,torment,Death released him from his torments.,agony,anguish,misery,suffering,
17,torment,He was tormented by feelings of guilt.,distress,torture,,,
17,legitimate,His claim to be promoted to the post was quite legitimate.,justifiable,lawful,legal,,
17,second-hand,I stumbled upon a rare book at a second-hand bookstore.,old-fashioned,used,,,
17,second-hand,She got the news second-hand.,indirectly,,,,
17,percussion,"Recently, I came across a percussion therapy treatment device which caught my attention.",blow,collision,crash,impact,
17,relapse,The poor girl relapsed after leaving the hospital.,recrudesce,recur,,,
